Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,TOUCH_ENABLE,GPIO,Digital,In,n/a,Yes,No,NORMAL
2,PA01,ENABLE_6V,GPIO,Digital,Out,Low,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,BLE_RESET,GPIO,Digital,Out,Low,,,NORMAL
6,PB05,,Available,,,,,,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,,Available,,,,,,NORMAL
12,PB09,,Available,,,,,,NORMAL
13,PA04, QT_LED_COL2,GPIO,Digital,Out,Low,,,NORMAL
14,PA05, QT_LED_COL0,GPIO,Digital,Out,Low,,,NORMAL
15,PA06, QT_LED_COL1,GPIO,Digital,Out,Low,,,NORMAL
16,PA07, QT_LED_COL3,GPIO,Digital,Out,Low,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
25,PB12,QT_LED_ROW0,GPIO,Digital,Out,Low,,,NORMAL
26,PB13,QT_LED_ROW1,GPIO,Digital,Out,Low,,,NORMAL
27,PB14,QT_LED_ROW2,GPIO,Digital,Out,Low,,,NORMAL
28,PB15,QT_LED_ROW3,GPIO,Digital,Out,Low,,,NORMAL
29,PA12,,TCC0_WO6,Digital,High Impedance,n/a,No,No,NORMAL
30,PA13,,TCC0_WO7,Digital,High Impedance,n/a,No,No,NORMAL
31,PA14,LIMIT_SW_SIG1_PIN,EIC_EXTINT3,Digital,High Impedance,n/a,Yes,No,NORMAL
32,PA15,LIMIT_SW_SIG2_PIN,EIC_EXTINT4,Digital,High Impedance,n/a,Yes,No,NORMAL
35,PA16,BLE_COM_TX,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
36,PA17,BLE_COM_RX,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
37,PA18,BLE_COM_RTS,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
38,PA19,BLE_COM_CTS,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
39,PB16,BLE_DISCONNECT,GPIO,Digital,Out,Low,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,PC_COM_TX,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
44,PA23,PC_COM_RX,SERCOM2_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,BLE_STATUS,GPIO,Digital,In,n/a,Yes,No,NORMAL
50,PB23,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
60,PB31,,SERCOM5_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
61,PB00,RX_IND_LP,GPIO,Digital,Out,High,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,LED,GPIO,Digital,Out,High,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
