Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Open Drain,Slew Rate Control
1,PA00,,Available,,,,,,No,FAST
2,PA01,,Available,,,,,,No,FAST
3,PA02,,Available,,,,,,No,FAST
4,PA03,,Available,,,,,,No,FAST
5,PA04,,Available,,,,,,No,FAST
6,PE04,,Available,,,,,,No,FAST
9,PA05,,Available,,,,,,No,FAST
10,PA06,,Available,,,,,,No,FAST
11,PA30,,Available,,,,,,No,FAST
12,PA31,,Available,,,,,,No,FAST
13,PA21,,Available,,,,,,No,FAST
14,PA22,,Available,,,,,,No,FAST
15,PA23,,Available,,,,,,No,FAST
16,PE00,,Available,,,,,,No,FAST
17,PE01,,Available,,,,,,No,FAST
18,PE02,,Available,,,,,,No,FAST
19,PE05,,Available,,,,,,No,FAST
22,PE06,,Available,,,,,,No,FAST
23,PE07,,Available,,,,,,No,FAST
24,PA07,,Available,,,,,,No,FAST
25,PA08,,Available,,,,,,No,FAST
26,PA09,,Available,,,,,,No,FAST
27,PE08,,Available,,,,,,No,FAST
28,PE09,,Available,,,,,,No,FAST
29,PE10,,Available,,,,,,No,FAST
30,PE11,,Available,,,,,,No,FAST
31,PA24,,Available,,,,,,No,FAST
32,PA25,,Available,,,,,,No,FAST
33,PE03,,Available,,,,,,No,FAST
36,PA10,,Available,,,,,,No,FAST
37,PA11,,Available,,,,,,No,FAST
38,PA26,,Available,,,,,,No,FAST
39,PA27,,Available,,,,,,No,FAST
40,PA12,,Available,,,,,,No,FAST
41,PA13,,Available,,,,,,No,FAST
42,PA14,,Available,,,,,,No,FAST
43,PA28,,Available,,,,,,No,FAST
44,PA29,,Available,,,,,,No,FAST
45,PA15,,Available,,,,,,No,FAST
48,PA16,,Available,,,,,,No,FAST
49,PA17,,Available,,,,,,No,FAST
50,PA18,,Available,,,,,,No,FAST
51,PA19,,Available,,,,,,No,FAST
52,PA20,,Available,,,,,,No,FAST
53,PB00,,Available,,,,,,No,FAST
54,PB01,,Available,,,,,,No,FAST
55,PB02,,Available,,,,,,No,FAST
56,PB03,,Available,,,,,,No,FAST
57,PB18,,Available,,,,,,No,FAST
58,PB19,,Available,,,,,,No,FAST
59,PB20,,Available,,,,,,No,FAST
62,PB04,,Available,,,,,,No,FAST
63,PB05,,Available,,,,,,No,FAST
66,PB21,LED0,GPIO,Digital,Out,Low,,,No,FAST
67,PB06,,Available,,,,,,No,FAST
68,PB22,,Available,,,,,,No,FAST
69,PB23,,Available,,,,,,No,FAST
70,PB07,,Available,,,,,,No,FAST
71,PB08,,Available,,,,,,No,FAST
72,PF01,,Available,,,,,,No,FAST
73,PF00,,Available,,,,,,No,FAST
74,PB27,,Available,,,,,,No,FAST
77,PF02,,Available,,,,,,No,FAST
78,PF03,,Available,,,,,,No,FAST
79,PF04,,Available,,,,,,No,FAST
80,PB28,,Available,,,,,,No,FAST
81,PF05,,Available,,,,,,No,FAST
82,PB09,,Available,,,,,,No,FAST
83,PB10,,Available,,,,,,No,FAST
84,PB11,,Available,,,,,,No,FAST
85,PB29,,Available,,,,,,No,FAST
88,PF06,,Available,,,,,,No,FAST
89,PF07,,Available,,,,,,No,FAST
90,PF08,,Available,,,,,,No,FAST
91,PB30,,Available,,,,,,No,FAST
92,PB31,,Available,,,,,,No,FAST
93,PB24,SW0,EIC_EXTINT8,Digital,High Impedance,n/a,Yes,No,No,FAST
94,PB25,,Available,,,,,,No,FAST
95,PB26,,Available,,,,,,No,FAST
96,PB12,,Available,,,,,,No,FAST
100,PB13,,Available,,,,,,No,FAST
101,PB14,,Available,,,,,,No,FAST
102,PB15,,Available,,,,,,No,FAST
103,PB16,,Available,,,,,,No,FAST
104,PB17,,Available,,,,,,No,FAST
105,PG04,,Available,,,,,,No,FAST
106,PC00,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,No,FAST
107,PC01,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,No,FAST
108,PC02,,Available,,,,,,No,FAST
109,PC03,,Available,,,,,,No,FAST
110,PC04,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,No,FAST
113,PC05,,Available,,,,,,No,FAST
114,PC06,,Available,,,,,,No,FAST
115,PC21,,Available,,,,,,No,FAST
116,PC22,,Available,,,,,,No,FAST
117,PC07,,SERCOM1_PAD3,Digital,High Impedance,n/a,No,No,No,FAST
118,PC08,,Available,,,,,,No,FAST
119,PC23,SW1,EIC_EXTINT7,Digital,High Impedance,n/a,Yes,No,No,FAST
120,PC24,,Available,,,,,,No,FAST
121,PC09,,Available,,,,,,No,FAST
122,PC25,,Available,,,,,,No,FAST
125,PC30,,Available,,,,,,No,FAST
126,PC31,,Available,,,,,,No,FAST
127,PC26,,Available,,,,,,No,FAST
128,PG00,,Available,,,,,,No,FAST
129,PG05,,Available,,,,,,No,FAST
130,PG06,,Available,,,,,,No,FAST
131,PG07,,Available,,,,,,No,FAST
132,PG08,,Available,,,,,,No,FAST
133,PG01,,Available,,,,,,No,FAST
134,PG02,,Available,,,,,,No,FAST
135,PC10,,Available,,,,,,No,FAST
136,PC11,,Available,,,,,,No,FAST
139,PG09,,Available,,,,,,No,FAST
140,PG10,,Available,,,,,,No,FAST
141,PG11,,Available,,,,,,No,FAST
142,PC27,,Available,,,,,,No,FAST
143,PG03,,Available,,,,,,No,FAST
144,PC28,,Available,,,,,,No,FAST
145,PC12,,Available,,,,,,No,FAST
146,PC13,,Available,,,,,,No,FAST
147,PC29,,Available,,,,,,No,FAST
148,PC14,,Available,,,,,,No,FAST
149,PC15,,Available,,,,,,No,FAST
153,PC17,,Available,,,,,,No,FAST
154,PC18,,Available,,,,,,No,FAST
155,PC19,,Available,,,,,,No,FAST
156,PC20,,Available,,,,,,No,FAST
173,PD00,,Available,,,,,,No,FAST
174,PD01,,Available,,,,,,No,FAST
175,PD24,,Available,,,,,,No,FAST
176,PD25,,Available,,,,,,No,FAST
179,PD13,,Available,,,,,,No,FAST
180,PD23,,Available,,,,,,No,FAST
181,PD14,,Available,,,,,,No,FAST
182,PD02,,Available,,,,,,No,FAST
183,PD03,,Available,,,,,,No,FAST
184,PD26,,Available,,,,,,No,FAST
185,PD27,,Available,,,,,,No,FAST
186,PD28,,Available,,,,,,No,FAST
187,PD29,,Available,,,,,,No,FAST
190,PD15,,Available,,,,,,No,FAST
191,PD16,,Available,,,,,,No,FAST
192,PD17,,Available,,,,,,No,FAST
193,PD04,,Available,,,,,,No,FAST
194,PD18,,Available,,,,,,No,FAST
195,PD19,,Available,,,,,,No,FAST
196,PD05,,Available,,,,,,No,FAST
197,PD06,,Available,,,,,,No,FAST
198,PD20,,Available,,,,,,No,FAST
199,PD21,,Available,,,,,,No,FAST
200,PD07,,Available,,,,,,No,FAST
204,PD08,,Available,,,,,,No,FAST
205,PD09,,Available,,,,,,No,FAST
206,PD10,,Available,,,,,,No,FAST
207,PD11,,Available,,,,,,No,FAST
208,PD12,,Available,,,,,,No,FAST
