Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Open Drain,Slew Rate Control
A2,PD10,,Available,,,,,,No,FAST
A3,PD8,,Available,,,,,,No,FAST
A4,PD6,,Available,,,,,,No,FAST
A5,PD19,,Available,,,,,,No,FAST
A6,PD4,,Available,,,,,,No,FAST
A7,PD16,,Available,,,,,,No,FAST
A8,PD27,,Available,,,,,,No,FAST
A9,PD3,,Available,,,,,,No,FAST
A10,PD14,,Available,,,,,,No,FAST
A11,PD1,,Available,,,,,,No,FAST
A12,PD0,,Available,,,,,,No,FAST
B1,PD12,,Available,,,,,,No,FAST
B2,PD11,,Available,,,,,,No,FAST
B3,PD9,,Available,,,,,,No,FAST
B4,PD20,,Available,,,,,,No,FAST
B5,PD5,,Available,,,,,,No,FAST
B6,PD18,,Available,,,,,,No,FAST
B7,PD17,,Available,,,,,,No,FAST
B8,PD28,,Available,,,,,,No,FAST
B9,PD26,,Available,,,,,,No,FAST
B10,PD2,,Available,,,,,,No,FAST
B11,PD13,,Available,,,,,,No,FAST
C1,PA2,,Available,,,,,,No,FAST
C2,PA1,,Available,,,,,,No,FAST
C17,PC19,,Available,,,,,,No,FAST
C18,PC18,,Available,,,,,,No,FAST
D1,PA4,,Available,,,,,,No,FAST
D2,PA3,,Available,,,,,,No,FAST
D5,PD25,,Available,,,,,,No,FAST
D6,PD21,,Available,,,,,,No,FAST
D8,PD15,,Available,,,,,,No,FAST
D9,PD29,,Available,,,,,,No,FAST
D10,PD23,,Available,,,,,,No,FAST
D11,PD24,,Available,,,,,,No,FAST
D14,PC20,,Available,,,,,,No,FAST
D17,PC17,,Available,,,,,,No,FAST
E1,PA6,,Available,,,,,,No,FAST
E2,PA5,,Available,,,,,,No,FAST
E4,PA0,,Available,,,,,,No,FAST
E17,PC14,,Available,,,,,,No,FAST
E18,PC29,,Available,,,,,,No,FAST
F1,PA21,,Available,,,,,,No,FAST
F2,PA30,,Available,,,,,,No,FAST
F4,PE4,,Available,,,,,,No,FAST
F7,PD7,,Available,,,,,,No,FAST
F17,PC13,,Available,,,,,,No,FAST
F18,PC12,,Available,,,,,,No,FAST
G1,PA23,,Available,,,,,,No,FAST
G2,PA31,,Available,,,,,,No,FAST
G4,PA22,,Available,,,,,,No,FAST
G6,PE5,,Available,,,,,,No,FAST
G11,PG11,,Available,,,,,,No,FAST
G12,PC15,,Available,,,,,,No,FAST
G13,PG10,,Available,,,,,,No,FAST
G15,PC27,,Available,,,,,,No,FAST
G17,PG3,,Available,,,,,,No,FAST
G18,PC28,,Available,,,,,,No,FAST
H1,PE0,,Available,,,,,,No,FAST
H2,PE1,,Available,,,,,,No,FAST
H4,PE6,,Available,,,,,,No,FAST
H15,PC11,,Available,,,,,,No,FAST
H17,PC10,,Available,,,,,,No,FAST
H18,PG2,,Available,,,,,,No,FAST
J1,PE2,,Available,,,,,,No,FAST
J2,PE7,,Available,,,,,,No,FAST
J4,PE8,,Available,,,,,,No,FAST
J15,PG1,,Available,,,,,,No,FAST
J17,PG5,,Available,,,,,,No,FAST
J18,PG0,,Available,,,,,,No,FAST
K1,PA7,,Available,,,,,,No,FAST
K2,PA8,,Available,,,,,,No,FAST
K4,PE9,,Available,,,,,,No,FAST
K12,PG9,,Available,,,,,,No,FAST
K15,PC30,,Available,,,,,,No,FAST
K17,PC25,,Available,,,,,,No,FAST
K18,PC26,,Available,,,,,,No,FAST
L1,PA9,,Available,,,,,,No,FAST
L2,PA10,,Available,,,,,,No,FAST
L4,PE10,,Available,,,,,,No,FAST
L12,PG7,,Available,,,,,,No,FAST
L15,PG6,,Available,,,,,,No,FAST
L17,PG8,,Available,,,,,,No,FAST
L18,PC31,,Available,,,,,,No,FAST
M1,PA24,,Available,,,,,,No,FAST
M2,PA25,,Available,,,,,,No,FAST
M4,PE3,,Available,,,,,,No,FAST
M6,PE11,,Available,,,,,,No,FAST
M7,PB0,,Available,,,,,,No,FAST
M11,PF7,,Available,,,,,,No,FAST
M12,PF8,,Available,,,,,,No,FAST
M13,PC8,,Available,,,,,,No,FAST
M15,PC23,,Available,,,,,,No,FAST
M17,PC24,,Available,,,,,,No,FAST
M18,PC9,,Available,,,,,,No,FAST
N1,PA26,,Available,,,,,,No,FAST
N2,PA27,,Available,,,,,,No,FAST
N4,PA19,,Available,,,,,,No,FAST
N7,PB1,,Available,,,,,,No,FAST
N12,PB17,,Available,,,,,,No,FAST
N15,PC5,,Available,,,,,,No,FAST
N17,PC6,,Available,,,,,,No,FAST
N18,PC7,,Available,,,,,,No,FAST
P1,PA11,,Available,,,,,,No,FAST
P2,PA12,,Available,,,,,,No,FAST
P4,PA20,,Available,,,,,,No,FAST
P15,PC0,,Available,,,,,,No,FAST
P17,PC21,,Available,,,,,,No,FAST
P18,PC22,,Available,,,,,,No,FAST
R1,PA13,,Available,,,,,,No,FAST
R2,PA14,,Available,,,,,,No,FAST
R5,PB2,,Available,,,,,,No,FAST
R8,PF1,,Available,,,,,,No,FAST
R9,PF2,,Available,,,,,,No,FAST
R10,PF6,,Available,,,,,,No,FAST
R11,PB26,,Available,,,,,,No,FAST
R13,PB12,,Available,,,,,,No,FAST
R14,PG4,,Available,,,,,,No,FAST
R17,PC3,,Available,,,,,,No,FAST
R18,PC4,,Available,,,,,,No,FAST
T1,PA28,,Available,,,,,,No,FAST
T2,PA29,,Available,,,,,,No,FAST
T17,PC1,,Available,,,,,,No,FAST
T18,PC2,,Available,,,,,,No,FAST
U1,PA15,,Available,,,,,,No,FAST
U2,PA16,,Available,,,,,,No,FAST
U3,PA18,,Available,,,,,,No,FAST
U4,PB3,,Available,,,,,,No,FAST
U5,PB19,,Available,,,,,,No,FAST
U6,PB4,,Available,,,,,,No,FAST
U7,PF0,,Available,,,,,,No,FAST
U8,PB23,,Available,,,,,,No,FAST
U9,PB8,,Available,,,,,,No,FAST
U10,PF4,,Available,,,,,,No,FAST
U11,PB28,,Available,,,,,,No,FAST
U12,PB9,,Available,,,,,,No,FAST
U13,PB29,,Available,,,,,,No,FAST
U14,PB30,,Available,,,,,,No,FAST
U15,PB24,,Available,,,,,,No,FAST
U16,PB13,,Available,,,,,,No,FAST
U17,PB15,,Available,,,,,,No,FAST
U18,PB16,,Available,,,,,,No,FAST
V2,PB18,,Available,,,,,,No,FAST
V3,PA17,,Available,,,,,,No,FAST
V4,PB20,,Available,,,,,,No,FAST
V5,PB5,,Available,,,,,,No,FAST
V6,PB21,,Available,,,,,,No,FAST
V7,PB6,,Available,,,,,,No,FAST
V8,PB22,,Available,,,,,,No,FAST
V9,PB7,,Available,,,,,,No,FAST
V10,PB27,,Available,,,,,,No,FAST
V11,PF3,,Available,,,,,,No,FAST
V12,PF5,,Available,,,,,,No,FAST
V13,PB10,,Available,,,,,,No,FAST
V14,PB11,,Available,,,,,,No,FAST
V15,PB31,,Available,,,,,,No,FAST
V16,PB25,,Available,,,,,,No,FAST
V17,PB14,,Available,,,,,,No,FAST
