Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
7,PB08,STBYRST,GPIO,Digital,Out,High,,,NORMAL
8,PB09,,Available,,,,,,NORMAL
9,PA04,,Available,,,,,,NORMAL
10,PA05,,Available,,,,,,NORMAL
11,PA06,,Available,,,,,,NORMAL
12,PA07,,Available,,,,,,NORMAL
13,PA08,,Available,,,,,,NORMAL
14,PA09,,Available,,,,,,NORMAL
15,PA10,,Available,,,,,,NORMAL
16,PA11,,Available,,,,,,NORMAL
19,PB10,LED,GPIO,Digital,Out,High,,,NORMAL
20,PB11,SWITCH,GPIO,Digital,In,n/a,Yes,No,NORMAL
21,PA12,,SERCOM2_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
22,PA13,,SERCOM2_PAD1,Digital,High Impedance,n/a,Yes,No,NORMAL
23,PA14,,Available,,,,,,NORMAL
24,PA15,,Available,,,,,,NORMAL
25,PA16,,Available,,,,,,NORMAL
26,PA17,,Available,,,,,,NORMAL
27,PA18,,Available,,,,,,NORMAL
28,PA19,,Available,,,,,,NORMAL
29,PA20,,SERCOM3_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
30,PA21,,SERCOM3_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
31,PA22,,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
32,PA23,,Available,,,,,,NORMAL
33,PA24,,Available,,,,,,NORMAL
34,PA25,,Available,,,,,,NORMAL
37,PB22,,SERCOM5_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
38,PB23,,Available,,,,,,NORMAL
39,PA27,,Available,,,,,,NORMAL
41,PA28,BM71_RX_IND,GPIO,Digital,Out,High,,,NORMAL
45,PA30,,Available,,,,,,NORMAL
46,PA31,,Available,,,,,,NORMAL
47,PB02,GPIO_PB02,GPIO,Digital,In,n/a,No,No,NORMAL
48,PB03,,Available,,,,,,NORMAL
