Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,GFX_DISP_INTF_PIN_BACKLIGHT,GPIO,Digital,Out,High,,,NORMAL
3,PC00,GPIO_PC00,GPIO,Digital,Out,Low,,,NORMAL
4,PC01,GPIO_PC01,GPIO,Digital,Out,Low,,,NORMAL
7,PC02,GPIO_PC02,GPIO,Digital,Out,Low,,,NORMAL
8,PC03,GPIO_PC03,GPIO,Digital,Out,Low,,,NORMAL
9,PA02,,Available,,,,,,NORMAL
10,PA03,,Available,,,,,,NORMAL
11,PB04,GFX_DISP_INTF_PIN_CS,GPIO,Digital,Out,High,,,NORMAL
12,PB05,,Available,,,,,,NORMAL
13,PD00,SWITCH1,SWITCH_AL,Digital,In,n/a,No,No,NORMAL
16,PD01,SWITCH2,SWITCH_AL,Digital,In,n/a,No,No,NORMAL
17,PB06,,Available,,,,,,NORMAL
18,PB07,,Available,,,,,,NORMAL
19,PB08,GFX_DISP_INTF_PIN_RD,GPIO,Digital,Out,High,,,NORMAL
20,PB09,,CCL_OUT2,Digital,Out,High,,,NORMAL
21,PA04,,Available,,,,,,NORMAL
22,PA05,,Available,,,,,,NORMAL
23,PA06,,Available,,,,,,NORMAL
24,PA07,,Available,,,,,,NORMAL
27,PC04,GPIO_PC04,GPIO,Digital,Out,Low,,,NORMAL
28,PC05,GPIO_PC05,GPIO,Digital,Out,Low,,,NORMAL
29,PC06,GPIO_PC06,GPIO,Digital,Out,Low,,,NORMAL
30,PC07,GPIO_PC07,GPIO,Digital,Out,Low,,,NORMAL
33,PA08,,Available,,,,,,NORMAL
34,PA09,,I2S_FS0,Digital,High Impedance,n/a,No,No,NORMAL
35,PA10,,I2S_SCK0,Digital,High Impedance,n/a,No,No,NORMAL
36,PA11,,I2S_SDO,Digital,High Impedance,n/a,No,No,NORMAL
39,PB10,,I2S_SDI,Digital,High Impedance,n/a,No,No,NORMAL
40,PB11,,Available,,,,,,NORMAL
41,PB12,,SERCOM4_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
42,PB13,,SERCOM4_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
43,PB14,,GCLK_IO0,Digital,High Impedance,n/a,No,No,NORMAL
44,PB15,,GCLK_IO1,Digital,High Impedance,n/a,No,No,NORMAL
47,PD08,,SERCOM6_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
48,PD09,,SERCOM6_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
49,PD10,,Available,,,,,,NORMAL
50,PD11,,Available,,,,,,NORMAL
51,PD12,,Available,,,,,,NORMAL
52,PC10,,Available,,,,,,NORMAL
55,PC11,,Available,,,,,,NORMAL
56,PC12,,Available,,,,,,NORMAL
57,PC13,,Available,,,,,,NORMAL
58,PC14,,Available,,,,,,NORMAL
59,PC15,,Available,,,,,,NORMAL
60,PA12,,Available,,,,,,NORMAL
61,PA13,,Available,,,,,,NORMAL
62,PA14,,Available,,,,,,NORMAL
63,PA15,,Available,,,,,,NORMAL
66,PA16,LED2,LED_AL,Digital,Out,High,,,NORMAL
67,PA17,,GCLK_IO3,Digital,High Impedance,n/a,No,No,NORMAL
68,PA18,,Available,,,,,,NORMAL
69,PA19,,Available,,,,,,NORMAL
70,PC16,BSP_MAXTOUCH_CHG,GPIO,Digital,In,n/a,No,No,NORMAL
71,PC17,,Available,,,,,,NORMAL
72,PC18,GFX_DISP_INTF_PIN_RESET,GPIO,Digital,Out,Low,,,NORMAL
73,PC19,VBUS,GPIO,Digital,Out,Low,,,NORMAL
74,PC20,,Available,,,,,,NORMAL
75,PC21,LED1,LED_AL,Digital,Out,High,,,NORMAL
76,PC22,,Available,,,,,,NORMAL
77,PC23,,Available,,,,,,NORMAL
80,PD20,,SDHC1_SDCD,Digital,High Impedance,n/a,No,No,NORMAL
81,PD21,,SDHC1_SDWP,Digital,High Impedance,n/a,No,No,NORMAL
82,PB16,,GCLK_IO2,Digital,High Impedance,n/a,No,No,NORMAL
83,PB17,GFX_DISP_INTF_PIN_RSDC,GPIO,Digital,Out,High,,,NORMAL
84,PB18,,SDHC1_SDDAT0,Digital,High Impedance,n/a,No,No,NORMAL
85,PB19,,SDHC1_SDDAT1,Digital,High Impedance,n/a,No,No,NORMAL
86,PB20,,SDHC1_SDDAT2,Digital,High Impedance,n/a,No,No,NORMAL
87,PB21,,SDHC1_SDDAT3,Digital,High Impedance,n/a,No,No,NORMAL
88,PA20,,SDHC1_SDCMD,Digital,High Impedance,n/a,No,No,NORMAL
89,PA21,,SDHC1_SDCK,Digital,High Impedance,n/a,No,No,NORMAL
92,PA22,,Available,,,,,,NORMAL
93,PA23,,Available,,,,,,NORMAL
94,PA24,,USB_DM,Digital,High Impedance,n/a,No,No,NORMAL
95,PA25,,USB_DP,Digital,High Impedance,n/a,No,No,NORMAL
98,PB22,,Available,,,,,,NORMAL
99,PB23,,Available,,,,,,NORMAL
100,PB24,,Available,,,,,,NORMAL
101,PB25,,Available,,,,,,NORMAL
102,PB26,,Available,,,,,,NORMAL
103,PB27,,Available,,,,,,NORMAL
104,PB28,,Available,,,,,,NORMAL
105,PB29,,Available,,,,,,NORMAL
108,PC24,,Available,,,,,,NORMAL
109,PC25,,Available,,,,,,NORMAL
110,PC26,,Available,,,,,,NORMAL
111,PC27,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
112,PC28,,SERCOM1_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
113,PA27,,Available,,,,,,NORMAL
119,PA30,,Available,,,,,,NORMAL
120,PA31,,Available,,,,,,NORMAL
121,PB30,,Available,,,,,,NORMAL
122,PB31,,Available,,,,,,NORMAL
123,PC30,,Available,,,,,,NORMAL
124,PC31,,Available,,,,,,NORMAL
125,PB00,,Available,,,,,,NORMAL
126,PB01,,Available,,,,,,NORMAL
127,PB02,,Available,,,,,,NORMAL
128,PB03,,Available,,,,,,NORMAL
