"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
A2,PB9,,Available,In,,,,,,,,
A3,PB10,,Available,In,,,,,,,,
A4,PB13,LED_BLUE,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A5,PB7,,Available,In,,,,,,,,
A6,PB20,,QSPI_QCS,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A7,PB21,,QSPI_QIO0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A8,PB24,,QSPI_QIO3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B1,PB17,,Available,In,,,,,,,,
B3,PB16,,Available,In,,,,,,,,
B5,PB15,,Available,In,,,,,,,,
B6,PB23,,QSPI_QIO2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B7,PB22,,QSPI_QIO1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C1,PB1,,Available,In,,,,,,,,
C2,PB12,LED_GREEN,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C6,PB19,,QSPI_QSCK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D1,PB3,,Available,In,,,,,,,,
D2,PB6,,Available,In,,,,,,,,
D3,PB2,,Available,In,,,,,,,,
D6,PB11,LED_RED,LED_AH,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
E1,PB5,,Available,In,,,,,,,,
E2,PB25,,Available,In,,,,,,,,
E3,PB4,,Available,In,,,,,,,,
E4,PB18,,Available,In,,,,,,,,
E6,PB8,,Available,In,,,,,,,,
F1,PA28,,Available,In,,,,,,,,
F2,PB14,,Available,In,,,,,,,,
F4,PB0,,Available,In,,,,,,,,
F7,PA26,,Available,In,,,,,,,,
F8,PA24,,Available,In,,,,,,,,
G1,PA22,,Available,In,,,,,,,,
G2,PA30,,Available,In,,,,,,,,
G6,PA21,,Available,In,,,,,,,,
G8,PA9,,DBGU_DRXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
H1,PA25,,Available,In,,,,,,,,
H2,PA27,,Available,In,,,,,,,,
H3,PA29,,Available,In,,,,,,,,
H4,PA31,,Available,In,,,,,,,,
H6,PA15,,Available,In,,,,,,,,
H7,PA11,,Available,In,,,,,,,,
J1,PA18,,Available,In,,,,,,,,
J2,PA20,,Available,In,,,,,,,,
J3,PA17,,Available,In,,,,,,,,
J4,PA23,,Available,In,,,,,,,,
J5,PA19,,Available,In,,,,,,,,
J6,PA13,,Available,In,,,,,,,,
J7,PC15,,Available,In,,,,,,,,
J10,PD9,,Available,In,,,,,,,,
J12,PD7,,Available,In,,,,,,,,
J15,PD13,,Available,In,,,,,,,,
K1,PA14,,Available,In,,,,,,,,
K2,PA16,,Available,In,,,,,,,,
K6,PA7,,Available,In,,,,,,,,
K8,PC17,,Available,In,,,,,,,,
K9,PC23,,Available,In,,,,,,,,
K11,PD11,,Available,In,,,,,,,,
K15,PD8,,Available,In,,,,,,,,
K16,PD6,,Available,In,,,,,,,,
L1,PA12,,Available,In,,,,,,,,
L2,PA10,,DBGU_DTXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L3,PA3,,Available,In,,,,,,,,
L4,PA5,,Available,In,,,,,,,,
L5,PC4,,Available,In,,,,,,,,
L7,PC13,,Available,In,,,,,,,,
L8,PC19,,Available,In,,,,,,,,
L9,PC25,,Available,In,,,,,,,,
L10,PC29,,Available,In,,,,,,,,
L12,PD14,,Available,In,,,,,,,,
L13,PD18,SW1,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
L15,PD12,,Available,In,,,,,,,,
L16,PD10,,Available,In,,,,,,,,
M1,PA8,,Available,In,,,,,,,,
M2,PA6,,Available,In,,,,,,,,
M3,PA1,,Available,In,,,,,,,,
M4,PC0,,Available,In,,,,,,,,
M6,PC6,,Available,In,,,,,,,,
M8,PC21,,Available,In,,,,,,,,
M9,PC27,,Available,In,,,,,,,,
M11,PD20,,Available,In,,,,,,,,
M13,PC31,,Available,In,,,,,,,,
M14,PD16,,Available,In,,,,,,,,
M15,PD21,,Available,In,,,,,,,,
M16,PD15,,Available,In,,,,,,,,
N1,PA4,,Available,In,,,,,,,,
N5,PC2,,Available,In,,,,,,,,
N6,PC11,,Available,In,,,,,,,,
N8,PC8,,Available,In,,,,,,,,
N9,PC28,,Available,In,,,,,,,,
N11,PD5,,Available,In,,,,,,,,
N14,PD3,,Available,In,,,,,,,,
N16,PD17,,Available,In,,,,,,,,
P1,PA2,,Available,In,,,,,,,,
P2,PA0,,Available,In,,,,,,,,
P4,PC1,,Available,In,,,,,,,,
P5,PC3,,Available,In,,,,,,,,
P6,PC10,,Available,In,,,,,,,,
P8,PC20,,Available,In,,,,,,,,
P15,PD2,,Available,In,,,,,,,,
P16,PD19,,Available,In,,,,,,,,
R4,PC5,,Available,In,,,,,,,,
R5,PC12,,Available,In,,,,,,,,
R6,PC16,,Available,In,,,,,,,,
R7,PC22,,Available,In,,,,,,,,
R8,PC24,,Available,In,,,,,,,,
R14,PD0,,Available,In,,,,,,,,
R16,PD4,,Available,In,,,,,,,,
T3,PC7,,Available,In,,,,,,,,
T4,PC9,,Available,In,,,,,,,,
T5,PC14,,Available,In,,,,,,,,
T6,PC18,,Available,In,,,,,,,,
T7,PC30,,Available,In,,,,,,,,
T8,PC26,,Available,In,,,,,,,,
T15,PD1,,Available,In,,,,,,,,
