"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PA04,STBYRST,GPIO,Digital,Out,High,,,NORMAL
6,PA05,CLICK_EINK_EPAPER_2_9_296_128_DC,GPIO,Digital,Out,High,,,NORMAL
7,PA06,,Available,,,,,,NORMAL
8,PA07,,Available,,,,,,NORMAL
11,PA08,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
12,PA09,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
13,PA10,CLICK_EINK_EPAPER_2_9_296_128_BSY,GPIO,Digital,In,n/a,No,No,NORMAL
14,PA11,CLICK_EINK_EPAPER_2_9_296_128_RST,GPIO,Digital,Out,High,,,NORMAL
15,PA14,,Available,,,,,,NORMAL
16,PA15,,Available,,,,,,NORMAL
17,PA16,,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
18,PA17,,SERCOM1_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
19,PA18,CLICK_EINK_EPAPER_2_9_296_128_CS,GPIO,Digital,Out,High,,,NORMAL
20,PA19,,SERCOM1_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
21,PA22,,Available,,,,,,NORMAL
22,PA23,,Available,,,,,,NORMAL
23,PA24,,SERCOM3_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
24,PA25,,SERCOM3_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
25,PA27,,Available,,,,,,NORMAL
27,PA28,BM71_RX_IND,GPIO,Digital,Out,High,,,NORMAL
31,PA30,,Available,,,,,,NORMAL
32,PA31,,Available,,,,,,NORMAL
